Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Rate,Percent of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Percent,Number of Women with a Delivery and OUD Diagnosis Receiving MAT,Number of Women with a Delivery and OUD Diagnosis Receiving MAT notes,Number of Women with a Delivery and OUD Receiving MAT Description,Number of Women with a Delivery and OUD Diagnosis,Number of Women with a Delivery and OUD Diagnosis notes,Number of Women with a Delivery and OUD Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Column
County,Pike County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,52,52,42,103,62,"(41.332571995, -75.0327092448)"
County,Lehigh County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,39,39,42,077,26,"(40.6146479416, -75.6009948118)"
County,Northumberland County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,49,49,42,097,60,"(40.8515092572, -76.7118842273)"
County,Adams County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1,01,42,001,39,"(39.8720956503, -77.2222427076)"
State,Commonwealth,All,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,560.32,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,56.03,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,353,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,630,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,York County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,414.29,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,41.43,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,29,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,70,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,67,67,42,133,12,"(39.9219253124, -76.7257605231)"
County,Montour County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,47,47,42,093,58,"(41.0280182438, -76.6647052668)"
County,Warren County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,62,62,42,123,51,"(41.8167523652, -79.278581578)"
County,Allegheny County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,777.78,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,77.78,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,42,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,54,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,2,02,42,003,40,"(40.4673554298, -79.9861984282)"
County,Somerset County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,56,56,42,111,66,"(39.9714629901, -79.0310020611)"
County,Fulton County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,29,29,42,057,36,"(39.9248751086, -78.1148504535)"
County,Carbon County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,22,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,13,13,42,025,4,"(40.9193670081, -75.7110703866)"
County,Adams County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1,01,42,001,39,"(39.8720956503, -77.2222427076)"
State,Commonwealth,Female,30 to 34 years,2017,2017 Annual,1/1/2017-12/31/2017,562.03,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,56.2,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,453,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,806,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Monroe County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,470.59,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,47.06,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,16,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,34,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,45,45,42,089,56,"(41.0609178653, -75.3408360302)"
County,Delaware County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,590.48,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,59.05,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,62,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,105,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,23,23,42,045,28,"(39.9165786652, -75.4062771212)"
County,York County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,12,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,67,67,42,133,12,"(39.9219253124, -76.7257605231)"
County,York County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,13,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,67,67,42,133,12,"(39.9219253124, -76.7257605231)"
County,Monroe County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,45,45,42,089,56,"(41.0609178653, -75.3408360302)"
County,Cambria County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,11,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,11,11,42,021,2,"(40.4912749067, -78.7189417385)"
County,Butler County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,12,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,10,10,42,019,1,"(40.9108318483, -79.9171177889)"
County,Dauphin County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,11,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,22,22,42,043,18,"(40.4197463597, -76.7796056802)"
County,Jefferson County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,33,33,42,065,20,"(41.1313909115, -79.0010181419)"
County,Delaware County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,458.33,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,45.83,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,11,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,24,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,23,23,42,045,28,"(39.9165786652, -75.4062771212)"
County,Chester County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,14,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,15,15,42,029,6,"(39.9748705566, -75.7562649818)"
